"src","ava_cyr","ava_cauc","ava_ipa"
"kʼː","кӏкӏ","kʼː","kʼː"
"Kʼː","Кӏкӏ","kʼː","kʼː"
"łː","лълъ","ɬː","ɬː"
"Łː","Лълъ","ɬː","ɬː"
"cʼː","цӏцӏ","cʼː","t͡sʼː"
"Cʼː","Цӏцӏ","cʼː","t͡sʼː"
"čʼː","чӏчӏ","čʼː","t͡ʃʼː"
"Čʼː","Чӏчӏ","čʼː","t͡ʃʼː"
"ğ","гъ","ʁ","ʁ"
"Ğ","Гъ","ʁ","ʁ"
"h","гь","h","h"
"H","Гь","h","h"
"ḣ","гӏ","ʕ","ʕ"
"Ḣ","Гӏ","ʕ","ʕ"
"kː","кк","kː","kː"
"Kː","Кк","kː","kː"
"qʼ","къ","qʼ","qʼ"
"Qʼ","Къ","qʼ","qʼ"
"ḷʼ","кь","ƛʼ","t͡ɬʼ"
"Ḷʼ","Кь","ƛʼ","t͡ɬʼ"
"kʼ","кӏ","kʼ","kʼ"
"Kʼ","Кӏ","kʼ","kʼ"
"ḷ","лӏ","ƛ","t͡ɬ"
"Ḷ","Лӏ","ƛ","t͡ɬ"
"ł","лъ","ɬ","ɬ"
"Ł","Лъ","ɬ","ɬ"
"pʼ","пӏ","pʼ","pʼ"
"Pʼ","Пӏ","pʼ","pʼ"
"tʼ","тӏ","tʼ","tʼ"
"Tʼ","Тӏ","tʼ","tʼ"
"ẍː","хх","χː","χː"
"Ẍː","Хх","χː","χː"
"q","хъ","q","q"
"Q","Хъ","q","q"
"ẋ","хь","x","x"
"Ẋ","Хь","x","x"
"ħ","хӏ","ħ","ħ"
"Ħ","Хӏ","ħ","ħ"
"cː","цц","cː","t͡sː"
"Cː","Цц","cː","ʦː"
"cʼ","цӏ","cʼ","t͡sʼ"
"Cʼ","Цӏ","cʼ","t͡sʼ"
"čː","чч","čː","ʧː"
"Čː","Чч","čː","t͡ʃː"
"čʼ","чӏ","čʼ","t͡ʃʼ"
"Čʼ","Чӏ","čʼ","t͡ʃʼ"
"ё","е","je","je"
"Ё","Е","je","je"
"e","е","e","e"
"E","Е","e","e"
"a","а","a","a"
"A","А","a","a"
"b","б","b","b"
"B","Б","b","b"
"v","в","w","w"
"V","В","w","w"
"g","г","g","g"
"G","Г","g","g"
"d","д","d","d"
"D","Д","d","d"
"ž","ж","ž","ʒ"
"Ž","Ж","ž","ʒ"
"z","з","z","z"
"Z","З","z","z"
"i","и","i","i"
"I","И","i","i"
"j","й","j","j"
"J","Й","j","j"
"k","к","k","k"
"K","К","k","k"
"l","л","l","l"
"L","Л","l","l"
"m","м","m","m"
"M","М","m","m"
"n","н","n","n"
"N","Н","n","n"
"o","о","o","o"
"O","О","o","o"
"p","п","p","p"
"P","П","p","p"
"r","р","r","r"
"R","Р","r","r"
"s","с","s","s"
"S","С","s","s"
"t","т","t","t"
"T","Т","t","t"
"u","у","u","u"
"U","У","u","u"
"f","ф","f","f"
"F","Ф","f","f"
"ẍ","х","χ","χ"
"Ẍ","Х","χ","χ"
"c","ц","c","t͡s"
"C","Ц","c","t͡s"
"č","ч","č","t͡ʃ"
"Č","Ч","č","t͡ʃ"
"š","ш","š","ʃ"
"Š","Ш","š","ʃ"
"šː","щ","šː","ʃː"
"Šː","Щ","šː","ʃː"
"ɂ","ъ","ʔ","ʔ"
"Ɂ","Ъ","ʔ","ʔ"
"ю","ю","ju","ju"
"Ю","Ю","ju","ju"
"я","я","ja","ja"
"Я","Я","ja","ja"
"э","э","e","e"
"Э","Э","e","e"
"ʷ","в","ʷ","ʷ"
